domain,direct_dns,crtsh,whois,ssl_inspection,ipwhois,port_scan,tech_fingerprint,duckduckgo,bing,google,wikidata,theharvester,recon_ng,hunter,phonebook_cz,github_code,github_repos,hibp,hackertarget,dehashed,brave,bufferoverun,censys,projectdiscovery,rapiddns,rocketreach,subdomaincenter,subdomainfinderc99,thc,threatminer,urlscan,windvane,direct_dns__status,crtsh__status,whois__status,ssl_inspection__status,ipwhois__status,port_scan__status,tech_fingerprint__status,duckduckgo__status,bing__status,google__status,wikidata__status,theharvester__status,recon_ng__status,hunter__status,phonebook_cz__status,github_code__status,github_repos__status,hibp__status,hackertarget__status,dehashed__status,brave__status,bufferoverun__status,censys__status,projectdiscovery__status,rapiddns__status,rocketreach__status,subdomaincenter__status,subdomainfinderc99__status,thc__status,threatminer__status,urlscan__status,windvane__status
openai.com,152,0,1,1,1,4,3,0,0,,0,0,0,0,0,0,17,0,0,0,2,0,,,86,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
microsoft.com,196,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,105,0,,,,0,2,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
google.com,73,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,12,0,0,0,2,0,,,26,0,,,,0,5,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
amazon.com,74,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
apple.com,158,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,111,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
meta.com,80,0,1,1,1,13,3,0,0,,0,0,0,0,0,0,16,0,0,0,2,0,,,7,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
netflix.com,6,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,0,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
adobe.com,236,0,1,1,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,110,0,,,,0,20,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
cloudflare.com,93,0,1,1,1,4,3,0,0,,0,0,0,0,0,0,6,0,0,0,2,0,,,35,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
salesforce.com,192,0,1,1,1,2,4,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,106,0,,,,0,19,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
